row,keyword,url,reason
518,,,blank_url
519,,,blank_url
520,,,blank_url
521,,,blank_url
522,,,blank_url
523,,,blank_url
524,,,blank_url
525,,,blank_url
526,,,blank_url
527,,,blank_url
528,,,blank_url
529,,,blank_url
530,,,blank_url
531,,,blank_url
532,,,blank_url
533,,,blank_url
534,,,blank_url
535,,,blank_url
536,,,blank_url
537,,,blank_url
538,,,blank_url
539,,,blank_url
540,,,blank_url
541,,,blank_url
542,,,blank_url
543,,,blank_url
544,,,blank_url
545,,,blank_url
546,,,blank_url
547,,,blank_url
548,,,blank_url
549,,,blank_url
550,,,blank_url
551,,,blank_url
552,,,blank_url
553,,,blank_url
554,,,blank_url
555,,,blank_url
556,,,blank_url
557,,,blank_url
558,,,blank_url
559,,,blank_url
560,,,blank_url
561,,,blank_url
562,,,blank_url
563,,,blank_url
564,,,blank_url
565,,,blank_url
566,,,blank_url
567,,,blank_url
568,,,blank_url
569,,,blank_url
570,,,blank_url
571,,,blank_url
572,,,blank_url
573,,,blank_url
574,,,blank_url
575,,,blank_url
576,,,blank_url
577,,,blank_url
578,,,blank_url
579,,,blank_url
580,,,blank_url
581,,,blank_url
582,,,blank_url
583,,,blank_url
584,,,blank_url
585,,,blank_url
586,,,blank_url
587,,,blank_url
588,,,blank_url
589,,,blank_url
590,,,blank_url
591,,,blank_url
592,,,blank_url
593,,,blank_url
594,,,blank_url
595,,,blank_url
596,,,blank_url
597,,,blank_url
598,,,blank_url
599,,,blank_url
600,,,blank_url
601,,,blank_url
602,,,blank_url
603,,,blank_url
604,,,blank_url
605,,,blank_url
606,,,blank_url
607,,,blank_url
608,,,blank_url
609,,,blank_url
610,,,blank_url
611,,,blank_url
612,,,blank_url
613,,,blank_url
614,,,blank_url
615,,,blank_url
616,,,blank_url
617,,,blank_url
618,,,blank_url
619,,,blank_url
620,,,blank_url
621,,,blank_url
622,,,blank_url
623,,,blank_url
624,,,blank_url
625,,,blank_url
626,,,blank_url
627,,,blank_url
628,,,blank_url
629,,,blank_url
630,,,blank_url
631,,,blank_url
632,,,blank_url
633,,,blank_url
634,,,blank_url
635,,,blank_url
636,,,blank_url
637,,,blank_url
638,,,blank_url
639,,,blank_url
640,,,blank_url
641,,,blank_url
642,,,blank_url
643,,,blank_url
644,,,blank_url
645,,,blank_url
646,,,blank_url
647,,,blank_url
