row,keyword,old_url,new_url,gsc_clicks,gsc_impressions,gsc_position,gsc_page_count_for_query
38,chứng nhận iso 50001,https://knacert.com.vn/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong,https://knacert.com.vn/dich-vu/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong/,0.0,15.0,3.8,3
39,iso 50001,https://knacert.com.vn/blogs/tin-tuc/cach-xay-dung-tieu-chuan-iso-50001-cho-doanh-nghiep,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-ve-he-thong-quan-ly-nang-luong-iso-50001/,0.0,73.0,8.931506849315069,4
40,iso 50001 2018,https://knacert.com.vn/blogs/tin-tuc/noi-dung-iso-50001-theo-cac-dieu-khoan,https://knacert.com.vn/dich-vu/chung-nhan-iso-500012018-he-thong-quan-ly-nang-luong/,0.0,3.0,10.333333333333334,4
41,iso 26000,https://knacert.com.vn/blogs/tin-tuc/iso-26000-la-gi-tieu-chuan-quoc-te-ve-trach-nhiem-xa-hoi,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-26000-la-gi-tieu-chuan-quoc-te-ve-trach-nhiem-xa-hoi/,2.0,51.0,7.2745098039215685,2
43,tiêu chuẩn iso 26000,,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-26000-la-gi-tieu-chuan-quoc-te-ve-trach-nhiem-xa-hoi/,0.0,9.0,15.11111111111111,2
55,chứng chỉ iso 13485,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-134852016,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,0.0,22.0,9.5,2
56,chứng chỉ iso 13485 là gì,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-134852016,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,0.0,8.0,5.0,1
59,iso 13485,https://knacert.com.vn/blogs/tin-tuc/iso-9001-va-iso-13485-khac-nhau-nhu-the-nao,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,2.0,101.0,9.504950495049505,3
60,iso 13485 2016,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-134852016,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,0.0,9.0,6.666666666666667,2
61,iso 13485 2016 là gì,,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,0.0,3.0,5.333333333333333,1
62,iso 13485 là gì,https://knacert.com.vn/blogs/tin-tuc/tieu-chuan-iso-134852016,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,0.0,124.0,6.846774193548387,4
63,chứng nhận iso 14001,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-iso-140012015/,https://knacert.com.vn/dich-vu/chung-nhan-iso-14001/,1.0,13.0,13.692307692307692,6
64,iso 14001,https://knacert.com.vn/blogs/tin-tuc/danh-sach-tai-lieu-iso-140012015-bat-buoc,https://knacert.com.vn/tin-tuc-tieu-chuan/danh-sach-tai-lieu-iso-140012015-bat-buoc/,0.0,40.0,13.7,8
65,iso 14001 2015,https://knacert.com.vn/blogs/q-a/10-reasons-why-organizations-need-iso-140012015-certification,https://knacert.com.vn/tin-tuc-tieu-chuan/danh-sach-tai-lieu-iso-140012015-bat-buoc/,0.0,9.0,11.0,3
66,iso 14001 là gì,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-140012015-quan-ly-moi-truong/,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-14001/,0.0,14.0,17.642857142857142,5
67,tiêu chuẩn iso 14001,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-140012015-quan-ly-moi-truong/,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-14001/,0.0,3.0,24.333333333333332,4
68,chứng chỉ iso 17025,https://knacert.com.vn/tin-tuc-tieu-chuan/to-chuc-chung-nhan-iso-17025-tai-viet-nam/,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-170252017/,0.0,17.0,6.0,3
69,chứng chỉ iso 17025 là gì,https://knacert.com.vn/dao-tao-chung-nhan-iso-170252017,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-iso-170252017/,0.0,12.0,7.833333333333333,3
